activation,hidden,lr,epoch,train_loss,val_loss,epoch_flops,total_flops,gflops,epoch_time
tanh,64,0.01,25,0.32567996607856003,0.33760925024089594,842277822,21056945550,21.05694555,0.0822829999960959
tanh,64,0.01,26,0.3248420236825308,0.33588570238266946,842277822,21899223372,21.899223372,0.08349660015664995
tanh,64,0.01,27,0.3232317324456176,0.33363025544710195,842277822,22741501194,22.741501194,0.08290160004980862
tanh,64,0.01,28,0.32117945485463234,0.33149330442770353,842277822,23583779016,23.583779016,0.13626039982773364
tanh,64,0.01,29,0.31929932498816094,0.3300161422556369,842277822,24426056838,24.426056838,0.08210769994184375
tanh,64,0.01,30,0.31808421853524027,0.3293678104606896,842277822,25268334660,25.26833466,0.34058819990605116
tanh,64,0.01,31,0.3176510819515214,0.3293446994140292,842277822,26110612482,26.110612482,0.08364440011791885
tanh,64,0.01,32,0.3177510944087781,0.3295662363798911,842277822,26952890304,26.952890304,0.08258790010586381
tanh,64,0.01,33,0.31797417597000277,0.3297105349547506,842277822,27795168126,27.795168126,0.08297799993306398
tanh,64,0.01,34,0.31798908512760826,0.3296559902466126,842277822,28637445948,28.637445948,0.08414330007508397
tanh,64,0.01,35,0.31768529791874894,0.3294789925840004,842277822,29479723770,29.47972377,0.13675429997965693
tanh,64,0.01,36,0.3171683446265713,0.3293416540401176,842277822,30322001592,30.322001592,0.07925149984657764
tanh,64,0.01,37,0.31664319866095647,0.3293513065448623,842277822,31164279414,31.164279414,0.07816719985567033
tanh,64,0.01,38,0.3162671639967461,0.3294774102290018,842277822,32006557236,32.006557236,0.08311769994907081
tanh,64,0.01,39,0.3160579532527758,0.32957368982666335,842277822,32848835058,32.848835058,0.27211639983579516
tanh,64,0.01,40,0.3159064021096276,0.32948616183643,842277822,33691112880,33.69111288,0.3227650001645088
tanh,64,0.01,41,0.31567735933212926,0.3291670226624553,842277822,34533390702,34.533390702,0.08323769993148744
tanh,64,0.01,42,0.31532116854745723,0.3287082690089841,842277822,35375668524,35.375668524,0.13167429994791746
tanh,64,0.01,43,0.3149101628341886,0.3282709663638912,842277822,36217946346,36.217946346,0.08790470007807016
tanh,64,0.01,44,0.3145746895831273,0.3279687156562541,842277822,37060224168,37.060224168,0.07967490004375577
tanh,64,0.01,45,0.31439480656041935,0.32779777259082776,842277822,37902501990,37.90250199,0.08139210008084774
tanh,64,0.01,46,0.3143376578448409,0.3276640173681613,842277822,38744779812,38.744779812,0.07849209988489747
tanh,64,0.01,47,0.31428902667792125,0.3274759961021598,842277822,39587057634,39.587057634,0.07879139995202422
tanh,64,0.01,48,0.3141478985666474,0.32722264794026373,842277822,40429335456,40.429335456,0.07935689995065331
tanh,64,0.01,49,0.3139035206753719,0.326974246977581,842277822,41271613278,41.271613278,0.10140700009651482
tanh,64,0.01,50,0.3136347209176025,0.3268132691449448,842277822,42113891100,42.1138911,0.13989019999280572
tanh,64,0.01,51,0.3134386975215947,0.32675897411549765,842277822,42956168922,42.956168922,0.3850448001176119
tanh,64,0.01,52,0.3133526290743747,0.3267503672894301,842277822,43798446744,43.798446744,0.0908738998696208
tanh,64,0.01,53,0.3133323336472073,0.3266983834510619,842277822,44640724566,44.640724566,0.0824684000108391
tanh,64,0.01,54,0.31329948384183126,0.32655728692087194,842277822,45483002388,45.483002388,0.08549900003708899
tanh,64,0.01,55,0.31320916312450975,0.32635294872299064,842277822,46325280210,46.32528021,0.08639980014413595
tanh,64,0.01,56,0.31307720444462217,0.32615053054818566,842277822,47167558032,47.167558032,0.09068050002679229
tanh,64,0.01,57,0.31295043193650784,0.32599879164323325,842277822,48009835854,48.009835854,0.1389496000483632
